speciesId	compartment	initialConcentration	solver	annotation1	annotation2	annotation3	annotation4	annotation5	annotation6	annotation7	annotation8	annotation9	annotation10	annotation11	annotation12	annotation13
cyt_prot_a_APAF1__PCSK9__CASP3_	Cytoplasm	0.003541869409	Deterministic	O14727	Q8NBP7	P42574	P55210									
cyt_prot_DIABLO_	Cytoplasm	0.001101638753	Deterministic	Q9NR28												
cyt_prot_a_APAF1__PCSK9__XIAP_	Cytoplasm	0.1004381305	Deterministic	O14727	Q8NBP7	P98170										
cyt_prot_DIABLO__XIAP_	Cytoplasm	0.1249285759	Deterministic	Q9NR28	P98170											
cyt_prot_u_CASP3_	Cytoplasm	2.870304688	Deterministic	P42574	P55210											
cyt_prot_BAD_	Cytoplasm	0.09507959995	Deterministic	Q92934												
cyt_prot_BBC3_	Cytoplasm	0.02909906781	Deterministic	Q9BXH1												
cyt_prot_PMAIP1_	Cytoplasm	0.005557139906	Deterministic	Q13794												
cyt_prot_BCL2__BAD_	Cytoplasm	3.344393378	Deterministic	P10415	Q07817	Q07820	Q92934									
cyt_prot_BCL2__BBC3_	Cytoplasm	1.023550054	Deterministic	P10415	Q07817	Q07820	Q9BXH1									
cyt_prot_BCL2__PMAIP1_	Cytoplasm	0.1943622176	Deterministic	P10415	Q07817	Q07820	Q13794									
cyt_prot_BCL2L11_	Cytoplasm	0.06038534651	Deterministic	O43521												
cyt_prot_a_BCL2L11__BAX_	Cytoplasm	8.41E-08	Deterministic	O43521	Q07812											
cyt_prot_BCL2__BCL2L11_	Cytoplasm	2.124034525	Deterministic	P10415	Q07817	Q07820	O43521									
cyt_prot_pT202_pY204_MAPK_BCL2L11_	Cytoplasm	0.0005970032356	Deterministic	P28482	P27361	P27361	O43521									
cyt_prot_p_BCL2L11_	Cytoplasm	0.1058178115	Deterministic	O43521												
cyt_prot_p_p_AKT__BAD_	Cytoplasm	3.36E-05	Deterministic	P31749	P31751	Q9Y243	Q92934									
cyt_prot_p_BAD_	Cytoplasm	0.8912808864	Deterministic	Q92934												
cyt_prot_pT202_pY204_MAPK_BAD_	Cytoplasm	0.0009400569297	Deterministic	P28482	P27361	P27361	Q92934									
ext_prot_EGF_	Extracellular	8.40E-17	Deterministic	P01133												
ext_prot_NRG1_	Extracellular	9.33E-15	Deterministic	Q02297												
ext_prot_HGF_	Extracellular	2.30E-15	Deterministic	P14210												
ext_prot_PDGFB_	Extracellular	2.86E-19	Deterministic	P01127												
ext_prot_FGF_	Extracellular	4.13E-16	Deterministic	P05230	P09038											
ext_prot_IGF_	Extracellular	1.26E-18	Deterministic	P05019	P01344											
ext_prot_INS_	Extracellular	8.95E-15	Deterministic	P01308												
cyt_prot_EGFR_	Cytoplasm	50.1219597	Deterministic	P00533												
cyt_prot_pT693_EGFR_	Cytoplasm	4.954806943	Deterministic	P00533												
cyt_prot_ERBB2_	Cytoplasm	3.805080167	Deterministic	P04626												
cyt_prot_pT701_ERBB2_	Cytoplasm	0.3761707462	Deterministic	P04626												
cyt_prot_ERBB3_	Cytoplasm	1.739750707	Deterministic	P21860												
cyt_prot_ERBB4_	Cytoplasm	7.27E-28	Deterministic	Q15303												
cyt_prot_pT699_ERBB4_	Cytoplasm	7.18E-29	Deterministic	Q15303												
cyt_prot_EGFRvIII_	Cytoplasm	4.65E-11	Deterministic	VAR_066493												
cyt_prot_MET_	Cytoplasm	8.573223223	Deterministic	P08581												
cyt_prot_PDGFRB_	Cytoplasm	0.2296760081	Deterministic	P09619												
cyt_prot_FGFR_	Cytoplasm	0.1867129635	Deterministic	P11362	P21802											
cyt_prot_IGF1R_	Cytoplasm	0.02181478989	Deterministic	P08069												
cyt_prot_INSR_	Cytoplasm	0.02979621395	Deterministic	P06213												
cyt_prot_EGFR__EGFR_	Cytoplasm	2.512172788	Deterministic	P00533												
cyt_prot_EGFR__ERBB2_	Cytoplasm	0.1907151857	Deterministic	P00533	P04626											
cyt_prot_EGFR__ERBB3_	Cytoplasm	0.08719839388	Deterministic	P00533	P21860											
cyt_prot_EGFR__ERBB4_	Cytoplasm	3.64E-29	Deterministic	P00533	Q15303											
cyt_prot_ERBB2__ERBB2_	Cytoplasm	0.01447848456	Deterministic	P04626												
cyt_prot_ERBB2__ERBB3_	Cytoplasm	0.006619809285	Deterministic	P04626	P21860											
cyt_prot_ERBB2__ERBB4_	Cytoplasm	2.76E-30	Deterministic	P04626	Q15303											
cyt_prot_ERBB3__ERBB4_	Cytoplasm	1.26E-30	Deterministic	P21860	Q15303											
cyt_prot_ERBB4__ERBB4_	Cytoplasm	5.28E-58	Deterministic	Q15303												
cyt_prot_MET__MET_	Cytoplasm	0.07349967525	Deterministic	P08581												
cyt_prot_FGFR__FGFR_	Cytoplasm	3.49E-05	Deterministic	P11362	P21802											
cyt_prot_IGF1R__IGF1R_	Cytoplasm	0.7268990861	Deterministic	P08069												
cyt_prot_INSR__INSR_	Cytoplasm	0.3089398557	Deterministic	P06213												
cyt_prot_EGF__EGFR_	Cytoplasm	1.57E-17	Deterministic	P01133	P00533											
cyt_prot_NRG1__ERBB3_	Cytoplasm	1.56E-16	Deterministic	Q02297	P21860											
cyt_prot_NRG1__ERBB4_	Cytoplasm	6.50E-44	Deterministic	Q02297	Q15303											
cyt_prot_HGF__MET_	Cytoplasm	7.11E-14	Deterministic	P14210	P08581											
cyt_prot_PDGFB__PDGFRB_	Cytoplasm	6.56E-20	Deterministic	P01127	P09619	P01133										
cyt_prot_FGF__FGFR_	Cytoplasm	3.01E-16	Deterministic	P05230	P09038	P11362	P21802									
cyt_prot_EGF__EGFR__ERBB2_	Cytoplasm	1.72E-16	Deterministic	P01133	P00533	P04626										
cyt_prot_EGF__EGFR__EGFRvIII_	Cytoplasm	6.31E-28	Deterministic	P01133	P00533	VAR_066493										
cyt_prot_EGF__EGFR__EGFR_	Cytoplasm	4.30E-16	Deterministic	P01133	P00533											
cyt_prot_EGF__EGFR__ERBB3_	Cytoplasm	7.78E-17	Deterministic	P01133	P00533	P21860										
cyt_prot_EGF__EGFR__ERBB4_	Cytoplasm	9.32E-45	Deterministic	P01133	P00533	Q15303										
cyt_prot_ERBB2__NRG1__ERBB3_	Cytoplasm	5.38E-16	Deterministic	P04626	Q02297	P21860										
cyt_prot_EGFR__NRG1__ERBB3_	Cytoplasm	6.26E-15	Deterministic	P00533	Q02297	P21860										
cyt_prot_NRG1__ERBB3__ERBB3_	Cytoplasm	2.71E-16	Deterministic	Q02297	P21860											
cyt_prot_NRG1__ERBB3__EGFRvIII_	Cytoplasm	7.15E-27	Deterministic	Q02297	P21860	VAR_066493										
cyt_prot_NRG1__ERBB3__ERBB4_	Cytoplasm	1.12E-43	Deterministic	Q02297	P21860	Q15303										
cyt_prot_ERBB2__NRG1__ERBB4_	Cytoplasm	2.25E-43	Deterministic	P04626	Q02297	Q15303										
cyt_prot_NRG1__ERBB4__EGFRvIII_	Cytoplasm	3.00E-54	Deterministic	Q02297	Q15303	VAR_066493										
cyt_prot_EGFR__NRG1__ERBB4_	Cytoplasm	2.62E-42	Deterministic	P00533	Q02297	Q15303										
cyt_prot_ERBB3__NRG1__ERBB4_	Cytoplasm	1.04E-43	Deterministic	P21860	Q02297	Q15303										
cyt_prot_NRG1__ERBB4__ERBB4_	Cytoplasm	4.36E-71	Deterministic	Q02297	Q15303											
cyt_prot_HGF__MET__MET_	Cytoplasm	5.23E-13	Deterministic	P14210	P08581											
cyt_prot_PDGFB__PDGFRB__PDGFRB_	Cytoplasm	3.21E-38	Deterministic	P01127	P09619											
cyt_prot_FGF__FGFR__FGFR_	Cytoplasm	4.94E-16	Deterministic	P05230	P09038	P21802	P11362									
cyt_prot_IGF__IGF1R__IGF1R_	Cytoplasm	5.14E-19	Deterministic	P05019	P01344	P08069										
cyt_prot_INS__INSR__INSR_	Cytoplasm	6.87E-17	Deterministic	P01308	P06213											
cyt_prot_EGF__EGFR__EGF__EGFR_	Cytoplasm	1.01E-33	Deterministic	P01133	P00533											
cyt_prot_EGF__EGFR__NRG1__ERBB3_	Cytoplasm	4.04E-32	Deterministic	P01133	P00533	Q02297	P21860									
cyt_prot_EGF__EGFR__NRG1__ERBB4_	Cytoplasm	1.00E-59	Deterministic	P01133	P00533	Q02297	Q15303									
cyt_prot_NRG1__ERBB3__NRG1__ERBB3_	Cytoplasm	9.23E-32	Deterministic	Q02297	P21860											
cyt_prot_NRG1__ERBB3__NRG1__ERBB4_	Cytoplasm	7.00E-59	Deterministic	Q02297	P21860	Q15303										
cyt_prot_NRG1__ERBB4__NRG1__ERBB4_	Cytoplasm	1.49E-86	Deterministic	Q02297	Q15303											
cyt_prot_HGF__MET__HGF__MET_	Cytoplasm	8.32E-27	Deterministic	P08581	P14210											
cyt_prot_PDGFB__PDGFRB__PDGFB__PDGFRB_	Cytoplasm	2.15E-41	Deterministic	P01127	P09619											
cyt_prot_FGF__FGFR__FGF__FGFR_	Cytoplasm	2.17E-31	Deterministic	P05230	P09038	P21802	P11362									
cyt_prot_IGF__IGF1R__IGF__IGF1R_	Cytoplasm	6.08E-38	Deterministic	P05019	P01344	P08069										
cyt_prot_INS__INSR__INS__INSR_	Cytoplasm	3.16E-34	Deterministic	P01308	P06213											
cyt_prot_EGFR__p_p_MAPK	Cytoplasm	0.4955557535	Deterministic	P00533	P28482	P27361										
cyt_prot_ERBB2__p_p_MAPK	Cytoplasm	0.03762098543	Deterministic	P04626	P28482	P27361										
cyt_prot_ERBB4__p_p_MAPK	Cytoplasm	7.18E-30	Deterministic	Q15303	P28482	P27361										
cyt_prot_p_EGF__EGFR__ERBB2_	Cytoplasm	1.71E-16	Deterministic	P01133	P00533	P04626										
cyt_prot_p_EGF__EGFR__EGFRvIII_	Cytoplasm	6.29E-28	Deterministic	P01133	P00533	VAR_066493										
cyt_prot_p_EGF__EGFR__EGFR_	Cytoplasm	4.24E-16	Deterministic	P01133	P00533											
cyt_prot_p_EGF__EGFR__EGF__EGFR_	Cytoplasm	9.94E-34	Deterministic	P01133	P00533											
cyt_prot_p_EGF__EGFR__ERBB3_	Cytoplasm	7.74E-17	Deterministic	P01133	P00533	P21860										
cyt_prot_p_EGF__EGFR__NRG1__ERBB3_	Cytoplasm	4.02E-32	Deterministic	P01133	P00533	Q02297	P21860									
cyt_prot_p_EGF__EGFR__ERBB4_	Cytoplasm	9.28E-45	Deterministic	P01133	P00533	Q15303										
cyt_prot_p_EGF__EGFR__NRG1__ERBB4_	Cytoplasm	1.00E-59	Deterministic	P01133	P00533	Q02297	Q15303									
cyt_prot_p_ERBB2__NRG1__ERBB3_	Cytoplasm	5.37E-16	Deterministic	P04626	Q02297	P21860										
cyt_prot_p_NRG1__ERBB3__EGFRvIII_	Cytoplasm	7.15E-27	Deterministic	Q02297	P21860	VAR_066493										
cyt_prot_p_EGFR__NRG1__ERBB3_	Cytoplasm	6.23E-15	Deterministic	P00533	Q02297	P21860										
cyt_prot_p_NRG1__ERBB3__ERBB4_	Cytoplasm	1.12E-43	Deterministic	Q02297	P21860	Q15303										
cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4_	Cytoplasm	7.00E-59	Deterministic	Q02297	P21860	Q15303										
cyt_prot_p_ERBB2__NRG1__ERBB4_	Cytoplasm	2.25E-43	Deterministic	P04626	Q15303	Q02297										
cyt_prot_p_NRG1__ERBB4__EGFRvIII_	Cytoplasm	3.00E-54	Deterministic	Q02297	Q15303	VAR_066493										
cyt_prot_p_EGFR__NRG1__ERBB4_	Cytoplasm	2.61E-42	Deterministic	P00533	Q02297	Q15303										
cyt_prot_p_ERBB3__NRG1__ERBB4_	Cytoplasm	1.04E-43	Deterministic	P21860	Q02297	Q15303										
cyt_prot_p_NRG1__ERBB4__ERBB4_	Cytoplasm	4.35E-71	Deterministic	Q02297	Q15303											
cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4_	Cytoplasm	1.49E-86	Deterministic	Q02297	Q15303											
cyt_prot_p_HGF__MET__MET_	Cytoplasm	5.22E-13	Deterministic	P14210	P08581											
cyt_prot_p_HGF__MET__HGF__MET_	Cytoplasm	8.31E-27	Deterministic	P14210	P08581											
cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB_	Cytoplasm	2.15E-41	Deterministic	P01127	P09619											
cyt_prot_p_PDGFB__PDGFRB__PDGFRB_	Cytoplasm	3.21E-38	Deterministic	P01127	P09619											
cyt_prot_p_FGF__FGFR__FGF__FGFR_	Cytoplasm	2.17E-31	Deterministic	P21802	P11362	P05230	P09038									
cyt_prot_p_FGF__FGFR__FGFR_	Cytoplasm	4.93E-16	Deterministic	P05230	P09038	P21802	P11362									
cyt_prot_p_IGF__IGF1R__IGF1R_	Cytoplasm	5.14E-19	Deterministic	P05019	P01344	P08069										
cyt_prot_p_INS__INSR__INSR_	Cytoplasm	6.86E-17	Deterministic	P01308	P06213											
cyt_prot_p_IGF__IGF1R__IGF1R__IGF_	Cytoplasm	6.08E-38	Deterministic	P05019	P01344	P08069										
cyt_prot_p_INS__INSR__INSR__INS_	Cytoplasm	3.16E-34	Deterministic	P01308	P06213											
cyt_prot_p_IGF__IGF1R__IGF1R__IRS_	Cytoplasm	3.75E-19	Deterministic	P35568	P01344	P05019	Q9Y4H2	P08069								
cyt_prot_p_INS__INSR__INSR__IRS_	Cytoplasm	4.96E-17	Deterministic	P01308	P06213	P35568	Q9Y4H2									
cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS_	Cytoplasm	4.43E-38	Deterministic	P08069	Q9Y4H2	P05019	P35568	P01344								
cyt_prot_p_INS__INSR__INSR__INS__IRS_	Cytoplasm	2.28E-34	Deterministic	P01308	P06213	P35568	Q9Y4H2									
cyt_prot_SPRY2__EGF__EGFR__ERBB2_	Cytoplasm	2.83E-18	Deterministic	O43597	P01133	P00533	P04626									
cyt_prot_SPRY2__EGF__EGFR__EGFRvIII_	Cytoplasm	1.04E-29	Deterministic	O43597	P01133	P00533	VAR_066493									
cyt_prot_SPRY2__EGF__EGFR__EGFR_	Cytoplasm	7.09E-18	Deterministic	O43597	P01133	P00533										
cyt_prot_SPRY2__EGF__EGFR__EGF__EGFR_	Cytoplasm	1.66E-35	Deterministic	O43597	P01133	P00533										
cyt_prot_SPRY2__EGF__EGFR__ERBB3_	Cytoplasm	1.28E-18	Deterministic	O43597	P01133	P00533	P21860									
cyt_prot_SPRY2__EGF__EGFR__NRG1__ERBB3_	Cytoplasm	6.66E-34	Deterministic	O43597	P01133	P00533	Q02297	P21860								
cyt_prot_SPRY2__EGF__EGFR__ERBB4_	Cytoplasm	1.54E-46	Deterministic	O43597	P01133	P00533	Q15303									
cyt_prot_SPRY2__EGF__EGFR__NRG1__ERBB4_	Cytoplasm	1.66E-61	Deterministic	P00533	Q15303	O43597	P01133	Q02297								
cyt_prot_SPRY2__ERBB2__NRG1__ERBB3_	Cytoplasm	8.87E-18	Deterministic	P21860	O43597	P04626	Q02297									
cyt_prot_SPRY2__NRG1__ERBB3__EGFRvIII_	Cytoplasm	1.18E-28	Deterministic	O43597	Q02297	P21860	VAR_066493									
cyt_prot_SPRY2__EGFR__NRG1__ERBB3_	Cytoplasm	1.03E-16	Deterministic	O43597	P00533	Q02297	P21860									
