reactionId	solver	compartment	r ; p	ratelaw	parameter1	parameter2	parameter3	parameter4	parameter5	parameter6	parameter7	parameter8
vTL19	Deterministic	Nucleus	; nuc_prot_CCNA_	kTL19_1*nuc_prot_E2F_*(kTL19_2/(kTL19_2+nuc_prot_RB1_))*(kTL19_3/(kTL19_3+nuc_prot_p_RB1_))*cyt_mrna_CCNA2_201_	0.0329	10	200					
vTL20	Deterministic	Nucleus	; nuc_prot_CDKN1B_	(kTL20_1+(kTL20_2*nuc_prot_E2F_*(kTL20_3/(kTL20_3+nuc_prot_RB1_))*(kTL20_4/(kTL20_4+nuc_prot_p_RB1_))))*cyt_mrna_CDKN1B_201_	70.3	0.0878	10	200				
vTL21	Deterministic	Nucleus	; nuc_prot_a_CDH1_	kTL21*cyt_mrna_CDH1_201_	9.66							
vTL22	Deterministic	Nucleus	; nuc_prot_CCNB_	kTL22*cyt_mrna_CCNB1_201_	4.39							
vTL23	Deterministic	Nucleus	; nuc_prot_i_CDC20_	kTL23*cyt_mrna_CDC20_201_	8.78							
vTL24	Deterministic	Nucleus	; nuc_prot_WEE1_	kTL24*cyt_mrna_WEE1_202_	5.27							
vTL25	Deterministic	Cytoplasm	; nuc_prot_CHEK1_	kTL25*cyt_mrna_CHEK1_204_	0.00874							
vTL26	Deterministic	Cytoplasm	; nuc_prot_CDKN1A_	kTL26*cyt_mrna_CDKN1A_201_	0.531							
vTL27	Deterministic	Cytoplasm	;	kTL27*cyt_mrna_CDK1_203_	0.264							
vTL28	Deterministic	Cytoplasm	;	kTL28*cyt_mrna_CDK2_201_	0.179							
vTL29	Deterministic	Cytoplasm	;	kTL29*cyt_mrna_CDK4_201_	0.00823							
vTL30	Deterministic	Cytoplasm	;	kTL30*cyt_mrna_CDK6_202_	0.296							
vTL31	Deterministic	Cytoplasm	; ext_prot_TNFSF10_	kTL31_1*cyt_mrna_TNFSF10_201_*(cyt_prot_EIF4E_/(kTL31_2+cyt_prot_EIF4E_))	0	100						
vTL32	Deterministic	Cytoplasm	; cyt_prot_TNFRSF10_	kTL32_1*cyt_mrna_TNFRSF10A_201_*(cyt_prot_EIF4E_/(kTL32_2+cyt_prot_EIF4E_))	0.0067	100						
vTL33	Deterministic	Cytoplasm	; cyt_prot_TNFRSF10_	kTL33_1*cyt_mrna_TNFRSF10B_201_*(cyt_prot_EIF4E_/(kTL33_2+cyt_prot_EIF4E_))	0.00696	100						
vTL34	Deterministic	Cytoplasm	; cyt_prot_CFLAR_	kTL34_1*cyt_mrna_CFLAR_201_*(cyt_prot_EIF4E_/(kTL34_2+cyt_prot_EIF4E_))	0.0456	100						
vTL35	Deterministic	Cytoplasm	; cyt_prot_p_CASP8_	kTL35_1*cyt_mrna_CASP8_218_*(cyt_prot_EIF4E_/(kTL35_2+cyt_prot_EIF4E_))	0.0318	100						
vTL36	Deterministic	Cytoplasm	; cyt_prot_p_CASP8_	kTL36_1*cyt_mrna_CASP10_202_*(cyt_prot_EIF4E_/(kTL36_2+cyt_prot_EIF4E_))	0.00519	100						
vTL37	Deterministic	Cytoplasm	; cyt_prot_BFAR_	kTL37_1*cyt_mrna_BFAR_201_*(cyt_prot_EIF4E_/(kTL37_2+cyt_prot_EIF4E_))	0.00301	100						
vTL38	Deterministic	Cytoplasm	; cyt_prot_p_CASP3_	kTL38_1*cyt_mrna_CASP3_201_*(cyt_prot_EIF4E_/(kTL38_2+cyt_prot_EIF4E_))	0.0259	100						
vTL39	Deterministic	Cytoplasm	; cyt_prot_p_CASP3_	kTL39_1*cyt_mrna_CASP7_203_*(cyt_prot_EIF4E_/(kTL39_2+cyt_prot_EIF4E_))	0.0231	100						
vTL40	Deterministic	Cytoplasm	; cyt_prot_p_CASP6_	kTL40_1*cyt_mrna_CASP6_201_*(cyt_prot_EIF4E_/(kTL40_2+cyt_prot_EIF4E_))	0.00424	100						
vTL41	Deterministic	Cytoplasm	; cyt_prot_XIAP_	kTL41_1*cyt_mrna_XIAP_202_*(cyt_prot_EIF4E_/(kTL41_2+cyt_prot_EIF4E_))	0.141	100						
vTL42	Deterministic	Cytoplasm	; cyt_prot_PARP1_	kTL42_1*cyt_mrna_PARP1_203_*(cyt_prot_EIF4E_/(kTL42_2+cyt_prot_EIF4E_))	0.344	100						
vTL43	Deterministic	Cytoplasm	; cyt_prot_BID_	kTL43_1*cyt_mrna_BID_211_*(cyt_prot_EIF4E_/(kTL43_2+cyt_prot_EIF4E_))	0.0429	100						
vTL44	Deterministic	Cytoplasm	; cyt_prot_BCL2_	kTL44_1*cyt_mrna_BCL2_201_*(cyt_prot_EIF4E_/(kTL44_2+cyt_prot_EIF4E_))	0.0289	100						
vTL45	Deterministic	Cytoplasm	; cyt_prot_BCL2_	kTL45_1*cyt_mrna_BCL2L1_201_*(cyt_prot_EIF4E_/(kTL45_2+cyt_prot_EIF4E_))	0.103	100						
vTL46	Deterministic	Cytoplasm	; cyt_prot_BCL2_	kTL46_1*cyt_mrna_MCL1_202_*(cyt_prot_EIF4E_/(kTL46_2+cyt_prot_EIF4E_))	0.49	100						
vTL47	Deterministic	Cytoplasm	; cyt_prot_i_BAX_	kTL47_1*cyt_mrna_BAX_202_*(cyt_prot_EIF4E_/(kTL47_2+cyt_prot_EIF4E_))	0.328	100						
vTL48	Deterministic	Cytoplasm	; mit_mixed_CYC1__Membrane_	kTL48_1*cyt_mrna_CYCS_201_*(cyt_prot_EIF4E_/(kTL48_2+cyt_prot_EIF4E_))	0.0703	100						
vTL49	Deterministic	Cytoplasm	; mit_mixed_DIABLO__Membrane_	kTL49_1*cyt_mrna_DIABLO_206_*(cyt_prot_EIF4E_/(kTL49_2+cyt_prot_EIF4E_))	0.109	100						
vTL50	Deterministic	Cytoplasm	; cyt_prot_i_APAF1_	kTL50_1*cyt_mrna_APAF1_210_*(cyt_prot_EIF4E_/(kTL50_2+cyt_prot_EIF4E_))	0.00802	100						
vTL51	Deterministic	Cytoplasm	; cyt_prot_i_PCSK9_	kTL51_1*cyt_mrna_CASP9_201_*(cyt_prot_EIF4E_/(kTL51_2+cyt_prot_EIF4E_))	0.0248	100						
vTL52	Deterministic	Cytoplasm	; cyt_prot_BAD_	kTL52_1*cyt_mrna_BAD_201_*(cyt_prot_EIF4E_/(kTL52_2+cyt_prot_EIF4E_))	0.17	100						
vTL53	Deterministic	Cytoplasm	; cyt_prot_BBC3_	kTL53_1*cyt_mrna_BBC3_203_*(cyt_prot_EIF4E_/(kTL53_2+cyt_prot_EIF4E_))	0.566	100						
vTL54	Deterministic	Cytoplasm	; cyt_prot_PMAIP1_	kTL54_1*cyt_mrna_PMAIP1_202_*(cyt_prot_EIF4E_/(kTL54_2+cyt_prot_EIF4E_))	0.0289	100						
vTL55	Deterministic	Cytoplasm	; cyt_prot_BCL2L11_	kTL55_1*cyt_mrna_BCL2L11_204_*(cyt_prot_EIF4E_/(kTL55_2+cyt_prot_EIF4E_))	0.497	100						
vTL56	Deterministic	Cytoplasm	; ext_prot_EGF_	kTL56_1*cyt_mrna_EGF_201_*(cyt_prot_EIF4E_/(kTL56_2+cyt_prot_EIF4E_))	0.0712	100						
vTL57	Deterministic	Cytoplasm	; ext_prot_NRG1_	kTL57_1*cyt_mrna_NRG1_203_*(cyt_prot_EIF4E_/(kTL57_2+cyt_prot_EIF4E_))	0.0712	100						
vTL58	Deterministic	Cytoplasm	; cyt_prot_EGFR_	kTL58_1*cyt_mrna_EGFR_201_*(cyt_prot_EIF4E_/(kTL58_2+cyt_prot_EIF4E_))	0.519	100						
vTL59	Deterministic	Cytoplasm	; cyt_prot_ERBB2_	kTL59_1*cyt_mrna_ERBB2_201_*(cyt_prot_EIF4E_/(kTL59_2+cyt_prot_EIF4E_))	0.0531	100						
vTL60	Deterministic	Cytoplasm	; cyt_prot_ERBB3_	kTL60_1*cyt_mrna_ERBB3_201_*(cyt_prot_EIF4E_/(kTL60_2+cyt_prot_EIF4E_))	0.00606	100						
vTL61	Deterministic	Cytoplasm	; cyt_prot_ERBB4_	kTL61_1*cyt_mrna_ERBB4_202_*(cyt_prot_EIF4E_/(kTL61_2+cyt_prot_EIF4E_))	0.0176	100						
vTL62	Deterministic	Cytoplasm	; cyt_prot_EGFRvIII_	kTL62_1*cyt_mrna_EGFRvIII_*(cyt_prot_EIF4E_/(kTL62_2+cyt_prot_EIF4E_))	0.0332	100						
vTL63	Deterministic	Cytoplasm	; cyt_prot_MET_	kTL63_1*cyt_mrna_MET_202_*(cyt_prot_EIF4E_/(kTL63_2+cyt_prot_EIF4E_))	0.0143	100						
vTL64	Deterministic	Cytoplasm	; ext_prot_HGF_	kTL64_1*cyt_mrna_HGF_201_*(cyt_prot_EIF4E_/(kTL64_2+cyt_prot_EIF4E_))	0.0712	100						
vTL65	Deterministic	Cytoplasm	; cyt_prot_PDGFRB_	kTL65_1*cyt_mrna_PDGFRA_201_*(cyt_prot_EIF4E_/(kTL65_2+cyt_prot_EIF4E_))	0.0332	100						
vTL66	Deterministic	Cytoplasm	; cyt_prot_PDGFRB_	kTL66_1*cyt_mrna_PDGFRB_201_*(cyt_prot_EIF4E_/(kTL66_2+cyt_prot_EIF4E_))	0.0332	100						
vTL67	Deterministic	Cytoplasm	; ext_prot_PDGFB_	kTL67_1*cyt_mrna_PDGFB_201_*(cyt_prot_EIF4E_/(kTL67_2+cyt_prot_EIF4E_))	0.0712	100						
vTL68	Deterministic	Cytoplasm	; cyt_prot_SPRY2_	kTL68_1*cyt_mrna_SPRY2_202_*(cyt_prot_EIF4E_/(kTL68_2+cyt_prot_EIF4E_))	0.00392	100						
vTL69	Deterministic	Cytoplasm	; cyt_prot_CBL_	kTL69_1*cyt_mrna_CBL_201_*(cyt_prot_EIF4E_/(kTL69_2+cyt_prot_EIF4E_))	0.0518	100						
vTL70	Deterministic	Cytoplasm	; cyt_prot_GRB2_	kTL70_1*cyt_mrna_GRB2_202_*(cyt_prot_EIF4E_/(kTL70_2+cyt_prot_EIF4E_))	0.618	100						
vTL71	Deterministic	Cytoplasm	; cyt_prot_PLCG_	kTL71_1*cyt_mrna_PLCG1_223_*(cyt_prot_EIF4E_/(kTL71_2+cyt_prot_EIF4E_))	0.0302	100						
vTL72	Deterministic	Cytoplasm	; cyt_prot_PLCG_	kTL72_1*cyt_mrna_PLCG2_208_*(cyt_prot_EIF4E_/(kTL72_2+cyt_prot_EIF4E_))	0.0318	100						
vTL73	Deterministic	Cytoplasm	; cyt_prot_PI3KC_	kTL73_1*cyt_mrna_PIK3CA_201_*(cyt_prot_EIF4E_/(kTL73_2+cyt_prot_EIF4E_))	0.0146	100						
vTL74	Deterministic	Cytoplasm	; cyt_prot_PI3KC_	kTL74_1*cyt_mrna_PIK3CB_214_*(cyt_prot_EIF4E_/(kTL74_2+cyt_prot_EIF4E_))	0.0111	100						
vTL75	Deterministic	Cytoplasm	; cyt_prot_PI3KC_	kTL75_1*cyt_mrna_PIK3CG_205_*(cyt_prot_EIF4E_/(kTL75_2+cyt_prot_EIF4E_))	0.00255	100						
vTL76	Deterministic	Cytoplasm	; cyt_prot_PI3KC_	kTL76_1*cyt_mrna_PIK3CD_202_*(cyt_prot_EIF4E_/(kTL76_2+cyt_prot_EIF4E_))	0.00255	100						
vTL77	Deterministic	Cytoplasm	; cyt_prot_PI3KR_	kTL77_1*cyt_mrna_PIK3R1_211_*(cyt_prot_EIF4E_/(kTL77_2+cyt_prot_EIF4E_))	0.0975	100						
vTL78	Deterministic	Cytoplasm	; cyt_prot_PI3KR_	kTL78_1*cyt_mrna_PIK3R2_201_*(cyt_prot_EIF4E_/(kTL78_2+cyt_prot_EIF4E_))	0.00544	100						
vTL79	Deterministic	Cytoplasm	; cyt_prot_PI3KR_	kTL79_1*cyt_mrna_PIK3R3_201_*(cyt_prot_EIF4E_/(kTL79_2+cyt_prot_EIF4E_))	4.92E-05	100						
vTL80	Deterministic	Cytoplasm	; cyt_prot_PI3KR_	kTL80_1*cyt_mrna_PIK3R4_201_*(cyt_prot_EIF4E_/(kTL80_2+cyt_prot_EIF4E_))	0.0273	100						
vTL81	Deterministic	Cytoplasm	; cyt_prot_PIK3C2A_	kTL81_1*cyt_mrna_PIK3C2A_206_*(cyt_prot_EIF4E_/(kTL81_2+cyt_prot_EIF4E_))	0.014	100						
vTL82	Deterministic	Cytoplasm	; cyt_prot_GRP_	kTL82_1*cyt_mrna_RASGRP1_201_*(cyt_prot_EIF4E_/(kTL82_2+cyt_prot_EIF4E_))	0.295	100						
vTL83	Deterministic	Cytoplasm	; cyt_prot_GRP_	kTL83_1*cyt_mrna_RASGRP3_202_*(cyt_prot_EIF4E_/(kTL83_2+cyt_prot_EIF4E_))	0.295	100						
vTL84	Deterministic	Cytoplasm	; cyt_mixed_RAS__GDP_	kTL84_1*cyt_mrna_NRAS_201_*(cyt_prot_EIF4E_/(kTL84_2+cyt_prot_EIF4E_))	0.0361	100						
vTL85	Deterministic	Cytoplasm	; cyt_mixed_RAS__GDP_	kTL85_1*cyt_mrna_KRAS_202_*(cyt_prot_EIF4E_/(kTL85_2+cyt_prot_EIF4E_))	0.208	100						
vTL86	Deterministic	Cytoplasm	; cyt_mixed_RAS__GDP_	kTL86_1*cyt_mrna_HRAS_201_*(cyt_prot_EIF4E_/(kTL86_2+cyt_prot_EIF4E_))	1.01	100						
vTL87	Deterministic	Cytoplasm	; cyt_prot_NF1_	kTL87_1*cyt_mrna_NF1_202*(cyt_prot_EIF4E_/(kTL87_2+cyt_prot_EIF4E_))	0.00222	100						
vTL88	Deterministic	Cytoplasm	; cyt_prot_RAF1_	kTL88_1*cyt_mrna_RAF1_201_*(cyt_prot_EIF4E_/(kTL88_2+cyt_prot_EIF4E_))	0.0659	100						
vTL89	Deterministic	Cytoplasm	; cyt_prot_BRAF_	kTL89_1*cyt_mrna_BRAF_220_*(cyt_prot_EIF4E_/(kTL89_2+cyt_prot_EIF4E_))	0.0387	100						
vTL90	Deterministic	Cytoplasm	; cyt_prot_MAP2K_	kTL90_1*cyt_mrna_MAP2K1_201_*(cyt_prot_EIF4E_/(kTL90_2+cyt_prot_EIF4E_))	0.238	100						
vTL91	Deterministic	Cytoplasm	; cyt_prot_MAP2K_	kTL91_1*cyt_mrna_MAP2K2_201_*(cyt_prot_EIF4E_/(kTL91_2+cyt_prot_EIF4E_))	0.408	100						
vTL92	Deterministic	Cytoplasm	; cyt_prot_DUSP6_	kTL92_1*cyt_mrna_DUSP6_201_*(cyt_prot_EIF4E_/(kTL92_2+cyt_prot_EIF4E_))	0.000811	100						
vTL93	Deterministic	Cytoplasm	; cyt_prot_RPS6KA_	kTL93_1*cyt_mrna_RPS6KA1_204_*(cyt_prot_EIF4E_/(kTL93_2+cyt_prot_EIF4E_))	0.146	100						
vTL94	Deterministic	Cytoplasm	; cyt_prot_RPS6KA_	kTL94_1*cyt_mrna_RPS6KA2_201_*(cyt_prot_EIF4E_/(kTL94_2+cyt_prot_EIF4E_))	0.00764	100						
vTL95	Deterministic	Cytoplasm	; cyt_prot_RPS6KA_	kTL95_1*cyt_mrna_RPS6KA3_201_*(cyt_prot_EIF4E_/(kTL95_2+cyt_prot_EIF4E_))	0.0204	100						
vTL96	Deterministic	Cytoplasm	; cyt_prot_RPS6KA_	kTL96_1*cyt_mrna_RPS6KA4_201_*(cyt_prot_EIF4E_/(kTL96_2+cyt_prot_EIF4E_))	0.126	100						
vTL97	Deterministic	Cytoplasm	; nuc_prot_DUSP1_	kTL97_1*cyt_mrna_DUSP1_201_*(cyt_prot_EIF4E_/(kTL97_2+cyt_prot_EIF4E_))	0.000685	100						
vTL98	Deterministic	Cytoplasm	; nuc_prot_FOS_	kTL98_1*cyt_mrna_FOS_201_*(cyt_prot_EIF4E_/(kTL98_2+cyt_prot_EIF4E_))	0.394	100						
vTL99	Deterministic	Cytoplasm	; nuc_prot_JUN_	kTL99_1*cyt_mrna_JUN_201_*(cyt_prot_EIF4E_/(kTL99_2+cyt_prot_EIF4E_))	0.165	100						
vTL100	Deterministic	Cytoplasm	; nuc_prot_MYC_	kTL100_1*cyt_mrna_MYC_206_*(cyt_prot_EIF4E_/(kTL100_2+cyt_prot_EIF4E_))	39.4	100						
vTL101	Deterministic	Cytoplasm	; cyt_prot_CTNNB1_	kTL101_1*cyt_mrna_CTNNB1_201_*(cyt_prot_EIF4E_/(kTL101_2+cyt_prot_EIF4E_))	5.21	100						
vTL102	Deterministic	Cytoplasm	; cyt_prot_PTEN_	kTL102_1*cyt_mrna_PTEN_201_*(cyt_prot_EIF4E_/(kTL102_2+cyt_prot_EIF4E_))	0.000658	100						
vTL103	Deterministic	Cytoplasm	; cyt_prot_AKT_	kTL103_1*cyt_mrna_AKT1_218_*(cyt_prot_EIF4E_/(kTL103_2+cyt_prot_EIF4E_))	0.738	100						
vTL104	Deterministic	Cytoplasm	; cyt_prot_AKT_	kTL104_1*cyt_mrna_AKT2_206_*(cyt_prot_EIF4E_/(kTL104_2+cyt_prot_EIF4E_))	0.181	100						
vTL105	Deterministic	Cytoplasm	; cyt_prot_PDPK1_	kTL105_1*cyt_mrna_PDPK1_202_*(cyt_prot_EIF4E_/(kTL105_2+cyt_prot_EIF4E_))	0.123	100						
vTL106	Deterministic	Cytoplasm	; cyt_prot_RICTOR_	kTL106_1*cyt_mrna_RICTOR_202_*(cyt_prot_EIF4E_/(kTL106_2+cyt_prot_EIF4E_))	0.0164	100						
vTL107	Deterministic	Cytoplasm	; cyt_prot_MTOR_	kTL107_1*cyt_mrna_MTOR_201_*(cyt_prot_EIF4E_/(kTL107_2+cyt_prot_EIF4E_))	0.424	100						
vTL108	Deterministic	Cytoplasm	; cyt_prot_GSK3B_	kTL108_1*cyt_mrna_GSK3B_201_*(cyt_prot_EIF4E_/(kTL108_2+cyt_prot_EIF4E_))	0.371	100						
vTL109	Deterministic	Cytoplasm	; cyt_prot_TSC1_	kTL109_1*cyt_mrna_TSC1_201_*(cyt_prot_EIF4E_/(kTL109_2+cyt_prot_EIF4E_))	0.00142	100						
vTL110	Deterministic	Cytoplasm	; cyt_prot_TSC2_	kTL100_1*cyt_mrna_TSC2_201_*(cyt_prot_EIF4E_/(kTL100_2+cyt_prot_EIF4E_))	0.0153	100						
vTL111	Deterministic	Cytoplasm	; cyt_prot_PRKC_	kTL111_1*cyt_mrna_PRKCA_202_*(cyt_prot_EIF4E_/(kTL111_2+cyt_prot_EIF4E_))	0.00771	100						
vTL112	Deterministic	Cytoplasm	; cyt_prot_PRKC_	kTL112_1*cyt_mrna_PRKCB_210_*(cyt_prot_EIF4E_/(kTL112_2+cyt_prot_EIF4E_))	0.00688	100						
vTL113	Deterministic	Cytoplasm	; cyt_prot_PRKC_	kTL113_1*cyt_mrna_PRKCG_201_*(cyt_prot_EIF4E_/(kTL113_2+cyt_prot_EIF4E_))	0.00688	100						
vTL114	Deterministic	Cytoplasm	; cyt_prot_PRKC_	kTL114_1*cyt_mrna_PRKCD_201_*(cyt_prot_EIF4E_/(kTL114_2+cyt_prot_EIF4E_))	0.0888	100						
vTL115	Deterministic	Cytoplasm	; cyt_prot_PEBP1_	kTL115_1*cyt_mrna_PEBP1_201_*(cyt_prot_EIF4E_/(kTL115_2+cyt_prot_EIF4E_))	0.075	100						
vTL116	Deterministic	Cytoplasm	; cyt_prot_MAPK_	kTL116_1*cyt_mrna_MAPK1_201_*(cyt_prot_EIF4E_/(kTL116_2+cyt_prot_EIF4E_))	0.647	100						
vTL117	Deterministic	Cytoplasm	; cyt_prot_MAPK_	kTL117_1*cyt_mrna_MAPK3_201_*(cyt_prot_EIF4E_/(kTL117_2+cyt_prot_EIF4E_))	0.0877	100						
vTL118	Deterministic	Cytoplasm	; cyt_prot_FOXO3_	kTL118_1*cyt_mrna_FOXO3_202_*(cyt_prot_EIF4E_/(kTL118_2+cyt_prot_EIF4E_))	0.0393	100						
vTL119	Deterministic	Cytoplasm	; cyt_mixed_RHEB__GDP_	kTL119_1*cyt_mrna_RHEB_201_*(cyt_prot_EIF4E_/(kTL119_2+cyt_prot_EIF4E_))	0.129	100						
vTL120	Deterministic	Cytoplasm	; cyt_prot_RPTOR_	kTL120_1*cyt_mrna_RPTOR_201_*(cyt_prot_EIF4E_/(kTL120_2+cyt_prot_EIF4E_))	0.37	100						
vTL121	Deterministic	Cytoplasm	; cyt_prot_RPS6KB1_	kTL121_1*cyt_mrna_RPS6KB1_201_*(cyt_prot_EIF4E_/(kTL121_2+cyt_prot_EIF4E_))	0.15	100						
vTL122	Deterministic	Cytoplasm	; cyt_prot_RPS6KB1_	kTL122_1*cyt_mrna_RPS6KB2_201_*(cyt_prot_EIF4E_/(kTL122_2+cyt_prot_EIF4E_))	0.0557	100						
vTL123	Deterministic	Cytoplasm	; cyt_prot_EIF4EBP1_	kTL123_1*cyt_mrna_EIF4EBP1_201_*(cyt_prot_EIF4E_/(kTL123_2+cyt_prot_EIF4E_))	0.0613	100						
vTL124	Deterministic	Cytoplasm	; cyt_prot_SOS1_	kTL124_1*cyt_mrna_SOS1_202_*(cyt_prot_EIF4E_/(kTL124_2+cyt_prot_EIF4E_))	0.00943	100						
vTL125	Deterministic	Cytoplasm	; nuc_prot_CDKN2A_	kTL125_1*cyt_mrna_CDKN2A_201_*(cyt_prot_EIF4E_/(kTL125_2+cyt_prot_EIF4E_))	0.0124	100						
vTL126	Deterministic	Cytoplasm	; nuc_prot_MDM4_	kTL126_1*cyt_mrna_MDM4_203_*(cyt_prot_EIF4E_/(kTL126_2+cyt_prot_EIF4E_))	0.00152	100						
vTL127	Deterministic	Cytoplasm	; cyt_prot_FGFR_	kTL127_1*cyt_mrna_FGFR1_214_*(cyt_prot_EIF4E_/(kTL127_2+cyt_prot_EIF4E_))	0.00184	100						
vTL128	Deterministic	Cytoplasm	; cyt_prot_FGFR_	kTL128_1*cyt_mrna_FGFR_206_*(cyt_prot_EIF4E_/(kTL128_2+cyt_prot_EIF4E_))	0.00184	100						
vTL129	Deterministic	Cytoplasm	; ext_prot_FGF_	kTL129_1*cyt_mrna_FGF1_201_*(cyt_prot_EIF4E_/(kTL129_2+cyt_prot_EIF4E_))	0.0712	100						
vTL130	Deterministic	Cytoplasm	; ext_prot_FGF_	kTL130_1*cyt_mrna_FGF2_203_*(cyt_prot_EIF4E_/(kTL130_2+cyt_prot_EIF4E_))	0.0712	100						
vTL131	Deterministic	Cytoplasm	; cyt_prot_EIF4E_	kTL131_1*cyt_mrna_EIF4E_203_*(cyt_prot_EIF4E_/(kTL131_2+cyt_prot_EIF4E_))	0.119	100						
vTL132	Deterministic	Cytoplasm	; cyt_prot_IRS_	kTL132_1*cyt_mrna_IRS1_201_*(cyt_prot_EIF4E_/(kTL132_2+cyt_prot_EIF4E_))	0.0058	100						
vTL133	Deterministic	Cytoplasm	; cyt_prot_IRS_	kTL133_1*cyt_mrna_IRS2_201_*(cyt_prot_EIF4E_/(kTL133_2+cyt_prot_EIF4E_))	0.114	100						
vTL134	Deterministic	Cytoplasm	; ext_prot_IGF_	kTL134_1*cyt_mrna_IGF1_202_*(cyt_prot_EIF4E_/(kTL134_2+cyt_prot_EIF4E_))	0.0712	100						
vTL135	Deterministic	Cytoplasm	; ext_prot_IGF_	kTL135_1*cyt_mrna_IGF2_205_*(cyt_prot_EIF4E_/(kTL135_2+cyt_prot_EIF4E_))	0.0712	100						
vTL136	Deterministic	Cytoplasm	; cyt_prot_IGF1R_	kTL136_1*cyt_mrna_IGF1R_217_*(cyt_prot_EIF4E_/(kTL136_2+cyt_prot_EIF4E_))	0.0145	100						
